1,OR,lit,Fri Jul 13 18:27:57 +0000 2018
2,TN,lit,Fri Jul 13 18:27:58 +0000 2018
3,CA,lit,Fri Jul 13 18:28:04 +0000 2018
4,TX,lit,Fri Jul 13 18:28:15 +0000 2018
5,NY,lit,Fri Jul 13 18:28:17 +0000 2018
6,IL,lit,Fri Jul 13 18:28:18 +0000 2018
7,CA,lit,Fri Jul 13 18:28:33 +0000 2018
8,CA,lit,Fri Jul 13 18:28:37 +0000 2018
9,FL,lit,Fri Jul 13 18:28:43 +0000 2018
10,IL,lit,Fri Jul 13 18:28:44 +0000 2018
11,MA,lit,Fri Jul 13 18:28:53 +0000 2018
12,CA,lit,Fri Jul 13 18:28:55 +0000 2018
13,CA,lit,Fri Jul 13 18:28:56 +0000 2018
14,GA,ratchet,Fri Jul 13 18:29:03 +0000 2018
15,CA,lit,Fri Jul 13 18:29:13 +0000 2018
16,CA,lit,Fri Jul 13 18:29:14 +0000 2018
17,VA,lit,Fri Jul 13 18:29:15 +0000 2018
18,IL,lit,Fri Jul 13 18:29:16 +0000 2018
19,TX,ratchet,Fri Jul 13 18:29:28 +0000 2018
20,SC,lit,Fri Jul 13 18:29:29 +0000 2018
21,TX,lit,Fri Jul 13 18:29:31 +0000 2018
22,AL,ratchet,Fri Jul 13 18:29:32 +0000 2018
23,GA,ratchet,Fri Jul 13 18:29:32 +0000 2018
24,AL,ratchet,Fri Jul 13 18:29:32 +0000 2018
25,GA,ratchet,Fri Jul 13 18:29:32 +0000 2018
26,AL,ratchet,Fri Jul 13 18:29:32 +0000 2018
27,GA,ratchet,Fri Jul 13 18:29:32 +0000 2018
28,AL,ratchet,Fri Jul 13 18:29:32 +0000 2018
29,GA,ratchet,Fri Jul 13 18:29:32 +0000 2018
30,MI,lit,Fri Jul 13 18:29:33 +0000 2018
31,TX,lit,Fri Jul 13 18:29:35 +0000 2018
32,KS,lit,Fri Jul 13 18:29:36 +0000 2018
33,TX,lit,Fri Jul 13 18:29:38 +0000 2018
34,AL,lit,Fri Jul 13 18:29:39 +0000 2018
35,NV,lit,Fri Jul 13 18:29:40 +0000 2018
36,TX,lit,Fri Jul 13 18:29:41 +0000 2018
37,AK,lit,Fri Jul 13 18:29:41 +0000 2018
38,TX,lit,Fri Jul 13 18:29:45 +0000 2018
39,TX,lit,Fri Jul 13 18:29:49 +0000 2018
40,FL,lit,Fri Jul 13 18:29:50 +0000 2018
41,HI,lit,Fri Jul 13 18:29:57 +0000 2018
42,TN,lit,Fri Jul 13 18:30:00 +0000 2018
43,NC,lit,Fri Jul 13 18:30:07 +0000 2018
44,NY,lit,Fri Jul 13 18:30:12 +0000 2018
45,TX,lit,Fri Jul 13 18:30:13 +0000 2018
46,MI,lit,Fri Jul 13 18:30:16 +0000 2018
47,FL,lit,Fri Jul 13 18:30:17 +0000 2018
48,LA,lit,Fri Jul 13 18:30:17 +0000 2018
49,TX,adulting,Fri Jul 13 18:30:18 +0000 2018
50,NY,lit,Fri Jul 13 18:30:23 +0000 2018
51,IL,adulting,Fri Jul 13 18:30:27 +0000 2018
52,NC,lit,Fri Jul 13 18:30:28 +0000 2018
53,MD,ratchet,Fri Jul 13 18:30:31 +0000 2018
54,IN,lit,Fri Jul 13 18:30:33 +0000 2018
55,TX,lit,Fri Jul 13 18:30:35 +0000 2018
56,TX,adulting,Fri Jul 13 18:30:47 +0000 2018
57,NC,lit,Fri Jul 13 18:30:47 +0000 2018
58,AZ,lit,Fri Jul 13 18:30:49 +0000 2018
59,TX,lit,Fri Jul 13 18:31:01 +0000 2018
60,GA,lit,Fri Jul 13 18:31:02 +0000 2018
61,NY,lit,Fri Jul 13 18:31:07 +0000 2018
62,GA,ratchet,Fri Jul 13 18:31:11 +0000 2018
63,TX,lit,Fri Jul 13 18:31:16 +0000 2018
64,NY,lit,Fri Jul 13 18:31:17 +0000 2018
65,CA,lit,Fri Jul 13 18:31:22 +0000 2018
66,CA,lit,Fri Jul 13 18:31:24 +0000 2018
67,PA,lit,Fri Jul 13 18:31:28 +0000 2018
68,FL,lit,Fri Jul 13 18:31:33 +0000 2018
69,VA,adulting,Fri Jul 13 18:31:34 +0000 2018
